Result of k-means clustering...
Precision of k-means clustering = 0.76001;
Object [0] = 2;
Object [1] = 2;
Object [2] = 2;
Object [3] = 2;
Object [4] = 2;
Object [5] = 2;
Object [6] = 2;
Object [7] = 2;
Object [8] = 2;
Object [9] = 2;
Object [10] = 2;
Object [11] = 2;
Object [12] = 2;
Object [13] = 2;
Object [14] = 2;
Object [15] = 2;
Object [16] = 2;
Object [17] = 2;
Object [18] = 2;
Object [19] = 2;
Object [20] = 2;
Object [21] = 2;
Object [22] = 2;
Object [23] = 2;
Object [24] = 2;
Object [25] = 2;
Object [26] = 2;
Object [27] = 2;
Object [28] = 2;
Object [29] = 2;
Object [30] = 2;
Object [31] = 2;
Object [32] = 2;
Object [33] = 2;
Object [34] = 2;
Object [35] = 2;
Object [36] = 2;
Object [37] = 2;
Object [38] = 2;
Object [39] = 2;
Object [40] = 2;
Object [41] = 1;
Object [42] = 2;
Object [43] = 2;
Object [44] = 2;
Object [45] = 2;
Object [46] = 2;
Object [47] = 2;
Object [48] = 2;
Object [49] = 2;
Object [50] = 0;
Object [51] = 0;
Object [52] = 0;
Object [53] = 1;
Object [54] = 0;
Object [55] = 1;
Object [56] = 0;
Object [57] = 1;
Object [58] = 0;
Object [59] = 1;
Object [60] = 1;
Object [61] = 1;
Object [62] = 1;
Object [63] = 1;
Object [64] = 1;
Object [65] = 0;
Object [66] = 1;
Object [67] = 1;
Object [68] = 1;
Object [69] = 1;
Object [70] = 0;
Object [71] = 1;
Object [72] = 1;
Object [73] = 1;
Object [74] = 1;
Object [75] = 0;
Object [76] = 0;
Object [77] = 0;
Object [78] = 1;
Object [79] = 1;
Object [80] = 1;
Object [81] = 1;
Object [82] = 1;
Object [83] = 1;
Object [84] = 1;
Object [85] = 0;
Object [86] = 0;
Object [87] = 1;
Object [88] = 1;
Object [89] = 1;
Object [90] = 1;
Object [91] = 1;
Object [92] = 1;
Object [93] = 1;
Object [94] = 1;
Object [95] = 1;
Object [96] = 1;
Object [97] = 1;
Object [98] = 1;
Object [99] = 1;
Object [100] = 0;
Object [101] = 1;
Object [102] = 0;
Object [103] = 0;
Object [104] = 0;
Object [105] = 0;
Object [106] = 1;
Object [107] = 0;
Object [108] = 0;
Object [109] = 0;
Object [110] = 0;
Object [111] = 0;
Object [112] = 0;
Object [113] = 1;
Object [114] = 0;
Object [115] = 0;
Object [116] = 0;
Object [117] = 0;
Object [118] = 0;
Object [119] = 1;
Object [120] = 0;
Object [121] = 1;
Object [122] = 0;
Object [123] = 0;
Object [124] = 0;
Object [125] = 0;
Object [126] = 0;
Object [127] = 0;
Object [128] = 0;
Object [129] = 0;
Object [130] = 0;
Object [131] = 0;
Object [132] = 0;
Object [133] = 0;
Object [134] = 1;
Object [135] = 0;
Object [136] = 0;
Object [137] = 0;
Object [138] = 0;
Object [139] = 0;
Object [140] = 0;
Object [141] = 0;
Object [142] = 1;
Object [143] = 0;
Object [144] = 0;
Object [145] = 0;
Object [146] = 1;
Object [147] = 0;
Object [148] = 0;
Object [149] = 0;

