Result of k-means clustering...
Precision of k-means clustering = 0.17814;
Object [0] = 8;
Object [1] = 1;
Object [2] = 1;
Object [3] = 16;
Object [4] = 20;
Object [5] = 22;
Object [6] = 5;
Object [7] = 25;
Object [8] = 14;
Object [9] = 4;
Object [10] = 22;
Object [11] = 18;
Object [12] = 19;
Object [13] = 6;
Object [14] = 5;
Object [15] = 1;
Object [16] = 23;
Object [17] = 7;
Object [18] = 11;
Object [19] = 14;
Object [20] = 14;
Object [21] = 23;
Object [22] = 20;
Object [23] = 18;
Object [24] = 12;
Object [25] = 7;
Object [26] = 6;
Object [27] = 16;
Object [28] = 18;
Object [29] = 23;
Object [30] = 13;
Object [31] = 14;
Object [32] = 2;
Object [33] = 19;
Object [34] = 6;
Object [35] = 18;
Object [36] = 18;
Object [37] = 0;
Object [38] = 19;
Object [39] = 7;
Object [40] = 1;
Object [41] = 5;
Object [42] = 1;
Object [43] = 5;
Object [44] = 16;
Object [45] = 22;
Object [46] = 19;
Object [47] = 20;
Object [48] = 4;
Object [49] = 22;
Object [50] = 9;
Object [51] = 13;
Object [52] = 17;
Object [53] = 9;
Object [54] = 22;
Object [55] = 19;
Object [56] = 25;
Object [57] = 23;
Object [58] = 0;
Object [59] = 25;
Object [60] = 24;
Object [61] = 20;
Object [62] = 22;
Object [63] = 9;
Object [64] = 23;
Object [65] = 13;
Object [66] = 23;
Object [67] = 20;
Object [68] = 9;
Object [69] = 4;
Object [70] = 1;
Object [71] = 5;
Object [72] = 5;
Object [73] = 21;
Object [74] = 12;
Object [75] = 23;
Object [76] = 23;
Object [77] = 23;
Object [78] = 25;
Object [79] = 23;
Object [80] = 2;
Object [81] = 0;
Object [82] = 19;
Object [83] = 19;
Object [84] = 15;
Object [85] = 17;
Object [86] = 9;
Object [87] = 6;
Object [88] = 2;
Object [89] = 12;
Object [90] = 6;
Object [91] = 11;
Object [92] = 16;
Object [93] = 18;
Object [94] = 24;
Object [95] = 5;
Object [96] = 23;
Object [97] = 18;
Object [98] = 24;
Object [99] = 2;
Object [100] = 8;
Object [101] = 11;
Object [102] = 18;
Object [103] = 17;
Object [104] = 7;
Object [105] = 8;
Object [106] = 11;
Object [107] = 2;
Object [108] = 18;
Object [109] = 15;
Object [110] = 12;
Object [111] = 7;
Object [112] = 11;
Object [113] = 12;
Object [114] = 18;
Object [115] = 24;
Object [116] = 20;
Object [117] = 19;
Object [118] = 25;
Object [119] = 12;
Object [120] = 1;
Object [121] = 10;
Object [122] = 1;
Object [123] = 23;
Object [124] = 1;
Object [125] = 2;
Object [126] = 5;
Object [127] = 3;
Object [128] = 4;
Object [129] = 15;
Object [130] = 25;
Object [131] = 5;
Object [132] = 20;
Object [133] = 10;
Object [134] = 25;
Object [135] = 2;
Object [136] = 1;
Object [137] = 14;
Object [138] = 2;
Object [139] = 14;
Object [140] = 0;
Object [141] = 17;
Object [142] = 20;
Object [143] = 24;
Object [144] = 25;
Object [145] = 6;
Object [146] = 8;
Object [147] = 25;
Object [148] = 8;
Object [149] = 9;
Object [150] = 14;
Object [151] = 4;
Object [152] = 16;
Object [153] = 6;
Object [154] = 12;
Object [155] = 23;
Object [156] = 5;
Object [157] = 4;
Object [158] = 1;
Object [159] = 23;
Object [160] = 11;
Object [161] = 16;
Object [162] = 3;
Object [163] = 25;
Object [164] = 7;
Object [165] = 24;
Object [166] = 18;
Object [167] = 5;
Object [168] = 11;
Object [169] = 8;
Object [170] = 22;
Object [171] = 20;
Object [172] = 19;
Object [173] = 24;
Object [174] = 0;
Object [175] = 22;
Object [176] = 14;
Object [177] = 2;
Object [178] = 0;
Object [179] = 23;
Object [180] = 11;
Object [181] = 5;
Object [182] = 24;
Object [183] = 22;
Object [184] = 3;
Object [185] = 12;
Object [186] = 23;
Object [187] = 20;
Object [188] = 0;
Object [189] = 14;
Object [190] = 19;
Object [191] = 18;
Object [192] = 9;
Object [193] = 18;
Object [194] = 4;
Object [195] = 0;
Object [196] = 18;
Object [197] = 5;
Object [198] = 2;
Object [199] = 3;
Object [200] = 11;
Object [201] = 8;
Object [202] = 1;
Object [203] = 20;
Object [204] = 23;
Object [205] = 4;
Object [206] = 1;
Object [207] = 2;
Object [208] = 8;
Object [209] = 5;
Object [210] = 17;
Object [211] = 23;
Object [212] = 1;
Object [213] = 14;
Object [214] = 14;
Object [215] = 14;
Object [216] = 25;
Object [217] = 5;
Object [218] = 14;
Object [219] = 5;
Object [220] = 15;
Object [221] = 22;
Object [222] = 7;
Object [223] = 1;
Object [224] = 18;
Object [225] = 18;
Object [226] = 13;
Object [227] = 3;
Object [228] = 2;
Object [229] = 12;
Object [230] = 4;
Object [231] = 5;
Object [232] = 25;
Object [233] = 19;
Object [234] = 25;
Object [235] = 11;
Object [236] = 12;
Object [237] = 18;
Object [238] = 8;
Object [239] = 1;
Object [240] = 11;
Object [241] = 0;
Object [242] = 8;
Object [243] = 17;
Object [244] = 0;
Object [245] = 9;
Object [246] = 20;
Object [247] = 22;
Object [248] = 7;
Object [249] = 18;
Object [250] = 14;
Object [251] = 1;
Object [252] = 22;
Object [253] = 7;
Object [254] = 6;
Object [255] = 0;
Object [256] = 14;
Object [257] = 9;
Object [258] = 2;
Object [259] = 18;
Object [260] = 15;
Object [261] = 14;
Object [262] = 4;
Object [263] = 11;
Object [264] = 17;
Object [265] = 6;
Object [266] = 24;
Object [267] = 5;
Object [268] = 12;
Object [269] = 8;
Object [270] = 4;
Object [271] = 11;
Object [272] = 18;
Object [273] = 17;
Object [274] = 10;
Object [275] = 14;
Object [276] = 5;
Object [277] = 2;
Object [278] = 20;
Object [279] = 5;
Object [280] = 19;
Object [281] = 6;
Object [282] = 6;
Object [283] = 18;
Object [284] = 12;
Object [285] = 16;
Object [286] = 20;
Object [287] = 5;
Object [288] = 18;
Object [289] = 6;
Object [290] = 9;
Object [291] = 18;
Object [292] = 17;
Object [293] = 22;
Object [294] = 1;
Object [295] = 25;
Object [296] = 20;
Object [297] = 15;
Object [298] = 18;
Object [299] = 22;
Object [300] = 5;
Object [301] = 3;
Object [302] = 11;
Object [303] = 22;
Object [304] = 25;
Object [305] = 5;
Object [306] = 18;
Object [307] = 21;
Object [308] = 24;
Object [309] = 23;
Object [310] = 12;
Object [311] = 16;
Object [312] = 23;
Object [313] = 25;
Object [314] = 14;
Object [315] = 15;
Object [316] = 6;
Object [317] = 6;
Object [318] = 8;
Object [319] = 12;
Object [320] = 23;
Object [321] = 5;
Object [322] = 1;
Object [323] = 7;
Object [324] = 15;
Object [325] = 20;
Object [326] = 3;
Object [327] = 25;
Object [328] = 5;
Object [329] = 5;
Object [330] = 2;
Object [331] = 12;
Object [332] = 11;
Object [333] = 20;
Object [334] = 14;
Object [335] = 3;
Object [336] = 16;
Object [337] = 25;
Object [338] = 1;
Object [339] = 10;
Object [340] = 6;
Object [341] = 23;
Object [342] = 22;
Object [343] = 9;
Object [344] = 15;
Object [345] = 20;
Object [346] = 9;
Object [347] = 10;
Object [348] = 18;
Object [349] = 2;
Object [350] = 10;
Object [351] = 14;
Object [352] = 14;
Object [353] = 10;
Object [354] = 2;
Object [355] = 10;
Object [356] = 24;
Object [357] = 8;
Object [358] = 5;
Object [359] = 4;
Object [360] = 5;
Object [361] = 20;
Object [362] = 9;
Object [363] = 4;
Object [364] = 18;
Object [365] = 14;
Object [366] = 16;
Object [367] = 24;
Object [368] = 6;
Object [369] = 19;
Object [370] = 18;
Object [371] = 24;
Object [372] = 19;
Object [373] = 16;
Object [374] = 2;
Object [375] = 1;
Object [376] = 8;
Object [377] = 4;
Object [378] = 22;
Object [379] = 12;
Object [380] = 9;
Object [381] = 2;
Object [382] = 7;
Object [383] = 15;
Object [384] = 16;
Object [385] = 7;
Object [386] = 1;
Object [387] = 18;
Object [388] = 4;
Object [389] = 11;
Object [390] = 14;
Object [391] = 9;
Object [392] = 23;
Object [393] = 20;
Object [394] = 12;
Object [395] = 9;
Object [396] = 18;
Object [397] = 4;
Object [398] = 20;
Object [399] = 17;
Object [400] = 5;
Object [401] = 18;
Object [402] = 4;
Object [403] = 2;
Object [404] = 1;
Object [405] = 17;
Object [406] = 14;
Object [407] = 12;
